OccurrenceID,GUID,Herbarium,Accession,Family,Accepted Name,Specimen Notes,Phenology,Collector,Day Collected,Month Collected,Year Collected,State or Province,County,Locality,Site Description,Verbatim Coordinates,Decimal Latitude,Decimal Longitude,Valid LatLng,Geodetic Datum,Coordinate Uncertainty in Meters,Georeferenced By,Georeference Sources,Georeference Remarks
125719,1468595c-777d-4fc5-b952-df894786e0b4,WTU,17117JWT,Boraginaceae,Oreocarya thompsonii,,Flowers,J. William Thompson,20,7,1933,Washington,Kittitas,"At head of Beverly Creek, Wenatchee Mountains.",High alpine ridges.,,47.416844,-120.885428,Y,WGS 84,3000,Jim Duemmel,Digital Map,
3233341,b6908d61-2a24-453c-bd57-c88041f201f1,EWU,3646,Boraginaceae,Oreocarya thompsonii,,Flowers & Fruits,J. William Thompson,11,6,1933,Washington,Chelan,Stuart Range,Open slopes.,,47.47006,-120.785604,Y,WGS 84,12000,Robert F. Steinauer,Google Earth,
4082548,c5dcb408-26a5-496d-85c9-28b7bda7c450,WS,,Boraginaceae,Oreocarya thompsonii,Https://intermountainbiota.org/portal/collections/individual/index.php?occid=30867551.,flowering,J.W. Thompson,20,7,1933,Washington,Kittitas,High alpine ridges at head of Beverly Creek.,,,47.372454,-120.877017,Y,,,,,
125624,96fe2c3b-df30-4b00-9833-83c9fa8d5c48,WTU,17044JWT,Boraginaceae,Oreocarya thompsonii,"Mr. Higman often camped there, and while he informed me that the above came from near Quincy, yet this is very unlikely.",Flowers,H. W. Higman,,6,1932,Washington,,"Probably from near Ingall's Camp, Wenatchee Mountains.",,,,,,,,,,
152428,bff1830d-71f8-4359-aaaa-3ac2bf49d5a8,WTU,17116JWT,Boraginaceae,Oreocarya thompsonii,,Flowers & Fruits,J. William Thompson,13,7,1932,Washington,Kittitas,Wenatchee Mountains. Near head of Beverly Creek.,Talus slopes.,,47.419167,-120.88972,Y,WGS 84,1000,Jim Duemmel,Digital Map,
152425,6dd8740b-97d2-4189-847d-8bfe21413e8f,WTU,17017JWT,Boraginaceae,Oreocarya thompsonii,,Flowers & Fruits,J. William Thompson,27,7,1931,Washington,Chelan,Wenatchee Mountains. Mount Stuart Region. Crest of Iron Mountain.,Rocky open crest.,,47.41222,-120.71417,Y,WGS 84,10000,WTU Staff,GeoLocate,
3778141,dfbcdcfd-54ba-4be0-8654-e39aa61daab8,WTU,,Apiaceae,Lomatium cuspidatum,Scattered along south ridgeline; petals purple; taproot deep.,Flowers,Payton Danosky,10,7,2024,Washington,Kittitas,"Okanogan-Wenatchee National Forest. Wenatchee Mountains, Small Fortune Peak summit area.","Phlox diffusa, Chaenactis thompsonii, and Packera streptanthifolia common. Serpentine and other ultramafic rocks primary geological influences.","47.46345° N,  120.96522° W",47.46345,-120.96522,Y,WGS 84,100,,GPS,
3551689,43a94027-35cd-4303-b6b1-25edb59242b9,WTU,428532,Apiaceae,Lomatium cuspidatum,Scattered on North and East facing slope; foliage glaucous-grey.,Fruits,Brielle Cañares,20,7,2022,Washington,Kittitas,Wenatchee National Forest. Bean Creek Basin. Judi's Peak.,"Summit area and 50 m radius in all direction on N-facing slope; 50 m along E-W ridgeline; common species Sabulina nuttalii, Heuchera cylindrica, Elymus elmoides and Aspidotis densa; rock substrate apparently ultramafic.","47.41136° N,  120.8701° W",47.41136,-120.8701,Y,WGS 84,300,David Giblin,Digital Map,
3552258,cd6615a6-da32-4498-8b0f-02b924754b08,WTU,428529,Apiaceae,Lomatium cuspidatum,Locally common along eastern ridge; leaf segments largely spaced; stems erect.,Flowers,Samantha Lieberman,5,7,2022,Washington,Kittitas,Okanogan-Wenatchee National Forest; Alpine Lakes Wilderness; Freedom Peak.,"Block summit of ultramafic rock with steep scree slope on south side, and a mix of rocks and rocky,loose soil for all other exposures; area surveyed from summit to just above treeline. Species abundance varying with aspect with Lomatium cuspidatum, Claytonia megarhiza, and Solidago multiradiata common in different places.","47.40731° N,  120.79234° W",47.40731,-120.79234,Y,WGS 84,150,,Digital map,
4159080,637adae0-937a-42d7-9783-4328fccf59a3,WS,,Apiaceae,Lomatium cuspidatum,"Widely scattered, ca 200 plants on midslope. Herbage glaucous, flowers purple. Https://intermountainbiota.org/portal/collections/individual/index.php?occid=31103575.",Flowering & Fruiting,Walter Fertig,19,6,2022,Washington,Kittitas,"East Cascades ecoregion: Wenatchee Mountains, west slope of Iron Mountain south of Iron Mountain Trail and north of Eldorado Creek, east of DeRoux Campground. T22N R15E S2 SW4 NW4 SE4 SW4.","Steep west and southwest-facing slope of serpentine talus and bedrock with scattered Pinus ponderosa, Pseudotsuga menziesii, and Pinus albicaulis. Veg cover 10-20% or less.",,47.42089,-120.928099,Y,WGS84,,Fertig,,
3505563,b9654529-2656-47a3-833e-4efad7c83698,WTU,428498,Apiaceae,Lomatium cuspidatum,Corollas purple; leaves basal; glaucous; common at lower part of alpine zone.,Flowers and Fruits,Ava Kloss-Schmidt,6,7,2021,Washington,Kittitas,Okanogan-Wenatche National Forest. Earl Peak. From summit to 100 m below the summit.,"Exposed ridge line and summit area with mixed geology; Potentilla tweedyi, Erigeron compositus, Polystichum sp., white bark pine.","47.40994° N,  120.64286° W",47.410869,-120.843146,Y,WGS 84,250,David Giblin,Digital Map,
3258875,8847342e-99d8-4bda-9eb1-67acc4c86151,CIC,54437,Apiaceae,Lomatium cuspidatum,"leaves 3D, glaucous",Fruits,D. H. Mansfield,11,6,2019,Washington,Kittitas,About 1 mile up Iron Creek-Bear Ck. trail 1351 from end of FR 9714 off of HWY 97 between Ellensburg and Blewett Pass,"On barren south facing outcrop that appeared serpentine, but is basaltic, mafic but lacking ultramafic features; with Lupinus sp., Eriogonum compositum, Galium multifidum, Physaria sp., Cheilanthes sp., Boechera sp. and Hackelia sp. (white fld).","47.361° N,  120.7178° W",47.361,-120.7178,Y,WGS 84,,,Field Notes,
186231,89773169-8b10-44c1-94f4-c04518082673,WTU,418403,Apiaceae,Lomatium cuspidatum,"Foliage gray-green, strongly glaucous; plants forming small clumps in scree; local, not seen elsewhere along trail.",Fruits,Ben Legler,27,6,2012,Washington,Kittitas,Wenatchee National Forest: along Iron Creek Trail (Trail #1351) circa 0.5 miles from the trailhead; east side of Teanaway Ridge.,"Serpentine scree slope, west exposure; sparsely vegetated with Delphinium glareosum, Galium serpenticum, Eriogonum compositum, and Lomatium cuspidatum.","47.361057° N,  120.717922° W",47.361057,-120.717922,Y,WGS 84,27,,Digital map,
179752,965af8db-d12f-441b-84c1-defd01501cfa,WTU,384007,Apiaceae,Lomatium cuspidatum,Flowers purple. Locally common. Material removed for genetic sequencing by J.F. Smith - Boise St. Univ. Mark Darrach 2/4/2016 at the University of Washington.,Flowers,David Giblin,4,7,2011,Washington,Kittitas,Okanogan-Wenatchee National Forest. Stafford Creek Trail. Approximately 2 kilometers before junction with Navajo Pass.,"Mostly unvegetated, open serpentine talus with slightly south-facing aspect.","47.4188° N,  120.8034° W",47.4188,-120.8034,Y,WGS 84,500,,Digital map,
2503723,da5f2405-acc7-4c4c-823e-7e5b1fb8d0d3,WTU,414932,Apiaceae,Lomatium cuspidatum,,Flowers,Pam Camp,,6,2009,Washington,Chelan,Wedge Mountain.,,,47.515676,-120.706475,Y,WGS 84,1807,Crystal Shin,GeoLocate,
166592,9ee4006e-e051-4ab9-9a9e-7145aa1c8600,WTU,371608,Apiaceae,Lomatium cuspidatum,"Dark purple flowered perennial, common.",Flowers,Valerie Soza,7,7,2006,Washington,Kittitas,Beverly Creek Trail to Iron Peak. Pass behind Iron Peak.,Alpine area. Rocky dry soil. Ridgetop. Pinus albicaulis & Abies lasiocarpa forest.,"47° 25.296' N,  120° 54.363' W",47.4216,-120.90605,Y,,1000,,,
114129,508a9b28-e86f-4ac3-b101-1fcb19c2a89d,WTU,384079,Apiaceae,Lomatium cuspidatum,Flowers purple-maroon; plant scattered in rocky soil.,Flowers,Ben Legler,10,6,2005,Washington,Kittitas,In Beverly Creek Basin 0.9 miles due east of summit of Iron Peak; Wenatchee Mountains.,"Stabilized open west-facing talus; partly serpentine; with Polystichum lemmonii, Abies lasiocarpa.",47° 24' 50 N,47.413889,-120.880556,Y,NAD 27,150,150,,
3169077,,NOCA,,Apiaceae,Lomatium cuspidatum,"ONE COMP PL.  FL YELLOW. ASSOCIATED SP:ABIES LASIOCARPA, PSEUDOTSUGA MENZIESII, SALIX SP, PACHISTIMA MYRSINITES, CASTILLEJA MINIATA, SENECIO INTEGERRIMUS. ENVELOPE CONTENTS:6 UMBELLETS IN FL, 1 IN FR",,Elroy Burnett,25,6,1989,Washington,Chelan,"LEAVENWORTH, 27 M NORTHERLY.","ROCKY SOIL, SE ASPECT.",T29N R17E S21,,,,,,,,
3169078,,NOCA,,Apiaceae,Lomatium cuspidatum,ONE BRANCH WITH FL AND FR; ONE PARTIAL ROOT. ASSOCIATED SP:PINUS PONDEROSA WOODS ENVELOPE CONTENTS:1 UMBELLET WITH FR,,Elroy Burnett,3,6,1989,Washington,Chelan,"PLAIN, 1.5 M SOUTHERLY.",DRY GRAVELLY EXPOSED RIDGE.,T26N R17E S24 NE4,,,,,,,,
3973727,2e510d8c-25ee-4fe7-b5f1-109358ff4734,WS,,Apiaceae,Lomatium cuspidatum,Https://intermountainbiota.org/portal/collections/individual/index.php?occid=30751912.,vegetative,Margaret Wilson,11,7,1981,Washington,Kittitas,Above Big Boulder Creek.,Talus slope.,,47.4425,-121.0575,Y,,,,Estimated,
112764,ed90edcc-c89b-4bfa-8246-d773f66228da,WTU,280689,Apiaceae,Lomatium cuspidatum,Material removed for genetic sequencing by J.F. Smith - Boise St. Univ. Mark Darrach 2/4/2016 at the University of Washington.,Fruits,Patrick Elvander,19,7,1980,Washington,Kittitas,Upper Cle Elum River above Fish Lake; at end of side trail going south ffrom Paddy-go-easy Pass trail 1-2 Kilometers from trailhead.,"Steep serpentine talus slopes west slope. With Polystichum mohroides, pella glabella, Eriogonum pyrolifolium, & Arctostaphylos nevadensis.",,47.529408,-121.062478,Y,WGS 84,1000,Jim Duemmel,Digital Map,
2321991,c17ce89b-03ce-430f-a9de-d69bf2c360d4,HPSU,14878,Apiaceae,Lomatium cuspidatum,,,Ruth Martin Hansen,11,6,1977,Washington,Kittitas,N. of Ellensburg on Iron Creek road.,On talus slope.,,,,,,,,,
112074,934a3340-a7ba-4cf4-9f7d-b9d0e8fbad36,WTU,355948,Apiaceae,Lomatium cuspidatum,,Fruits,David French,22,6,1964,Washington,Kittitas,East of De Roux Forest Camp; Wenatchee Mountains.,"On serpentine-peridotite; open slope, with loose rocks and soil.",,47.418379,-120.926535,Y,WGS 84,2000,Jim Duemmel,Digital Map,
112103,913ec484-282c-4bab-b74c-39e45fe665f4,WTU,215316,Apiaceae,Lomatium cuspidatum,,Fruits,A. R. Kruckeberg,20,7,1961,Washington,Chelan,"Southeast-facing upper slope of Three Brothers Peak, just below lookout, on trail to Etienne Creek. [Place name updated due to harmful language].","On talus, on trail Whitebark pine (krummholz"") forest type. Serpentine",,47.427821,-120.761464,Y,WGS 84,1000,Jim Duemmel,Digital Map,
112773,f3d6cd71-bca7-410c-a12b-73b802fcf70d,WTU,215313,Apiaceae,Lomatium cuspidatum,,Fruits,A. R. Kruckeberg,8,7,1960,Washington,Kittitas,"1.5 miles up Ingalls Lake trail, upper North Fork of the Teanaway River.",Open steep serpentine slope.,,47.45314,-120.69953,N,WGS 84,2400,Jim Duemmel,Digital Map,Invalid coordinates (located outside county bounds).
112809,8f831389-16dd-4943-b452-dfd0eab18cf2,WTU,215312,Apiaceae,Lomatium cuspidatum,,Fruits,A. R. Kruckeberg,9,7,1960,Washington,Kittitas,"Just east of wooded ridge connecting Hakwins Mountain and Esmerelda Peaks, along De Roux-Boulder Creek trail, 200 yards east of and below Fortune Creek turnoff. Upper North Fork Teanaway River drainage.",On extremely barren slope of serpentine origin.,,47.43951,-120.97864,Y,WGS 84,2000,Jim Duemmel,Digital Map,
112820,5c3700db-a05b-4baf-a79f-3e79dd634a6f,WTU,215310,Apiaceae,Lomatium cuspidatum,An unusual occurrence on non-serpentine soil!,Fruits,A. R. Kruckeberg,23,6,1960,Washington,Kittitas,Steep south facing open slope along trail to Koppen Peak via Johnson Creek. Slope extends to ridge overlooking N. fork Teanaway river. Near summit of talus along Koppen Mtn. Ridge.,Sandstone parent material suppoerting. Arctostaphylos nevadensis and pachystima.,T22N R15E S14 SW 1/4,47.39188,-120.931968,Y,WGS 84,800,Jim Duemmel,Digital Map,
112816,9c3343d6-c625-44be-be2b-ec2615bd7ebb,WTU,180156,Apiaceae,Lomatium cuspidatum,Flowers Purple.,Fruits,C. L. Hitchcock,17,7,1954,Washington,Kittitas,"Circa 6 miles west of Mission Peak, circa 20 miles northeast of Liberty, Wenatchee Mountains.",Sandy slope.,,47.3001,-120.52531,Y,WGS 84,10000,Jim Duemmel,Digital Map,
112775,bb56b7a9-b836-4dbb-9bdf-7d8ed05c0d0e,WTU,189764,Apiaceae,Lomatium cuspidatum,,Fruits,A. R. Kruckeberg,24,6,1952,Washington,Kittitas,"About 1 mile below Scatter Creek, upper Cle Elum River.","On steep, open, decomposing serpentine talus with scattered Tsuga Mertensiana - Douglas Fir.",,47.482495,-121.044727,Y,WGS 84,1000,Jim Duemmel,Digital Map,
112806,76ee2c09-682c-4ff8-a108-b65c0263f9a7,WTU,172544,Apiaceae,Lomatium cuspidatum,,Fruits,J. William Thompson,5,7,1952,Washington,Chelan,"Near Blewett Pass, Wenatchee Mountains.",Moist rocky alpine slopes.,,47.33556,-120.57778,Y,WGS84,5000,WTU Staff,GeoLocate,
112110,31754681-d61a-4dd3-ac21-7f37ca7d8f37,WTU,181879,Apiaceae,Lomatium cuspidatum,,Fruits,A. R. Kruckeberg,8,1,1950,Washington,Kittitas,Teanaway-Turnpike Basin Trail. Wenatchee mountains.,Dry exposed serpentine ridge.,,47.42636,-120.89671,Y,WGS 84,10000,Jim Duemmel,Digital Map,
112782,88b802a8-3d53-45b6-a188-d0aebb49be83,WTU,169157,Apiaceae,Lomatium cuspidatum,,Fruits,A. R. Kruckeberg,6,8,1950,Washington,Kittitas,"Along Iron Peak Trail, North Fork Teanaway River Watershed, Wenatchee Mountains.",On sterile serpentine slope.,,47.42108,-120.92147,Y,WGS 84,1200,Jim Duemmel,Digital Map,
112078,db8ff04b-b3c6-4565-9b23-0e4f6a4c12b0,WTU,45616,Apiaceae,Lomatium cuspidatum,,Flowers,C. L. Hitchcock,1,5,1938,Washington,Kittitas,East of Liberty.,Bare serpentine hills.,,47.25389,-120.66417,Y,WGS 84,10000,WTU Staff,GeoLocate,
112121,4ef17822-b792-4181-a4b5-ba52e9af0287,WTU,4821JWT,Apiaceae,Lomatium cuspidatum,,Fruits,J. William Thompson,25,5,1935,Washington,Kittitas,Near Liberty.,High open rocky ridge.,,47.25389,-120.66417,Y,WGS 84,5000,WTU Staff,GeoLocate,
112787,52cc5e62-7a48-492f-a70b-4035b51eaae7,WTU,8593JWT,Apiaceae,Lomatium cuspidatum,,Fruits,J. William Thompson,12,5,1934,Washington,Kittitas,Along Boulder Creek.,Serpentine rock slides.,,47.207938,-120.402164,Y,WGS 84,3000,Jim Duemmel,Digital Map,
112789,cedef67a-85ed-4408-a2cc-f86da2c220d3,WTU,8301JWT,Apiaceae,Lomatium cuspidatum,,Fruits,J. William Thompson,11,6,1933,Washington,Chelan,"Stuart Ridge, Wenatchee Mountains.",Crest of ridge.,,47.47024,-120.78503,Y,WGS84,13000,WTU Staff,Georeferenced,
3250032,785e4e8d-e102-4a15-b361-ce7de0379c6c,EWU,3785,Apiaceae,Lomatium cuspidatum,,Fruits,J. William Thompson,5,7,1933,Washington,Chelan,Tronson Ridge,Open rocky crest.,,47.378611,-120.565833,Y,WGS 84,2000,Robert F. Steinauer,Google Earth,
112115,f69afe99-eae2-430c-b0c9-8f048a83f87c,WTU,4822JWT,Apiaceae,Lomatium cuspidatum,,Fertile,J. William Thompson,13,7,1932,Washington,Kittitas,"At head of Beverly Creek, Wenatchee Mountains.",Rocky slopes at head of Beverly Creek.,,47.416844,-120.885428,Y,WGS 84,3000,Jim Duemmel,Digital Map,
112126,b03dacc0-bdce-4db2-837d-1bbb4541623d,WTU,4816JWT,Apiaceae,Lomatium cuspidatum,,Fruits,J. William Thompson,21,5,1932,Washington,Chelan,"Tronson Creek, Wenatchee Mountains.",Alpine ridge above creek.,,47.363563,-120.576778,Y,WGS84,7000,WTU Staff,Georeferenced,
112795,a3198399-d6e7-406e-8b6e-7f42330c80d2,WTU,8321JWT,Apiaceae,Lomatium cuspidatum,,Fruits,J. William Thompson,25,6,1932,Washington,Chelan,"Slopes of Tronson Ridge, Wenatchee Mountains.",,,47.378872,-120.558257,Y,WGS 84,4000,Jim Duemmel,Digital Map,
112111,585f4c81-422e-423b-8d9f-72d9cae7896f,WTU,4869JWT,Apiaceae,Lomatium cuspidatum,,Fruits,J. William Thompson,13,6,1931,Washington,Chelan,"Iron Mountain, Wenatchee Mountains.",Open rocky crest of mountain.,,47.41222,-120.71417,Y,WGS 84,2000,WTU Staff,GeoLocate,
112778,04535cd5-06c4-4ef5-b28c-eff438e3fc5a,WTU,4868JWT,Apiaceae,Lomatium cuspidatum,,Fertile,J. William Thompson,23,5,1931,Washington,Chelan,"Tumwater Mountain, Wenatchee Mountains.",Open rocky slopes.,,47.61611,-120.70028,Y,WGS84,2000,WTU Staff,GeoLocate,
112801,ef692847-b60a-4b3f-b01f-8f5e67d6e955,WTU,4771JWT,Apiaceae,Lomatium cuspidatum,,Fruits,J. William Thompson,13,6,1931,Washington,Kittitas,"Near mouth of Beverly Creek, Wenatchee Mountains.",Rocky crest of ridge.,,47.372454,-120.877017,Y,WGS 84,2000,WTU Staff,GeoLocate,
112118,190bf5a3-dd0d-4089-a0b5-b22e6ccf04d0,WTU,4817JWT,Apiaceae,Lomatium cuspidatum,,Fruits,J. William Thompson,20,8,1930,Washington,Kittitas,"Head of Beverly Creek, Wenatchee Mountains.",Alpine slopes.,,47.421607,-120.891952,Y,WGS 84,10000,Jim Duemmel,Digital Map,
3976055,f79faaf4-bbec-4737-88e0-37fe97a3a796,WS,,Apiaceae,Lomatium cuspidatum,Https://intermountainbiota.org/portal/collections/individual/index.php?occid=30754286.,vegetative,H. St. John; W.W. Eggleston,18,5,1928,Washington,Chelan,Chiwaukum.,Dry serpentine slope.,,47.69056,-120.73472,Y,,,,Estimated,
112826,3dfa67c7-c8fe-45a9-ae5c-ee1cf6b0414e,WTU,17028,Apiaceae,Lomatium cuspidatum,"Gift from Herb. W. S. C. Pullman, per Dr. Lincoln Constance 1935.",Fruits,J. H. Sandberg,28,8,1893,Washington,Chelan,Mount Stuart.,,,47.475118,-120.903144,Y,WGS 84,3000,Dan Post,GeoLocate,
3449130,ac2e64b4-8651-497e-bb78-2da1f1492747,CIC,57735,Apiaceae,Tauschia stricklandii,"Associates - Allium crenulatum / Camassia quamash ssp. maxima / Cladonia sp. / Lewisia columbianum var. rupicola / Luzula comosa var. laxa / Micranthes ferruginea / Spiraea splendens / Vaccinium cespitosum ; Phenology:  mid fruit to late flowering, flowers yellow; taprooted; abundant at this location; saturated moss mat; population perhaps 2000 plants, mostly in discrete dense patches. ",,Mark Darrach,8,6,2020,Oregon,Lincoln,1.86km SSW of Lost Prairie ACEC,"Slope: none, Aspect: flat; Substrate - porphyritic basalt with thin organic-rich soil carapace; Landform: toe slope","44.98831° N,  123.76711° W",44.98831,-123.76711,Y,WGS 84,,,,
3283312,d8e7bce7-5747-40a4-9dbd-23bbdb51267d,HPSU,21614,Apiaceae,Tauschia stricklandii,"10's of plants. This site seemingly drier than other nearby, higher elevation meadows with this species.",Flowers,Dominic Maze,24,5,2019,Oregon,Multnomah,Bull Run Watershed. Small meadow on Talapus Ridge next to Forest Service road along Bonneville Power right of way.,"Small meadow with Cupressus nootkatensis, Spiraea splendens, Agrostis scabra. ",,45.57213,-121.981722,Y,WGS 84,,Dominic Maze,Digital Map,
3093387,5b8864b2-eefb-413e-af90-33242f9ce143,SRP,61236,Apiaceae,Tauschia stricklandii,"1000's of plants present, many plants vegetative, forming dense carpets.",,Nick Otting,22,8,2016,Oregon,Multnomah,Cascade Mountains. Bull Run Watershed. Meadow just W of Talapus Mountain Road. 1.0 miles E of Palmer Lake and 34 air miles E of downtown Portland.,"Wet meadow with mosaic of forbs and low-growing shrubs. with Vaccinium oxycoccos, Spiraea densiflora, Tofieldia glutinosa, Parnassia fimbriata.","45.565163° N,  121.974544° W",45.565163,-121.974544,Y,WGS 84,,,Specimen Label,
190357,102c9317-d3bf-4759-8e54-c43babca4a3c,WTU,398382,Apiaceae,Tauschia stricklandii,"Common and abundant in open, wet soil; flowers yellow.",Flowers,David Giblin,19,7,2014,Washington,Yakima,Okanogan-Wenatchee National Forest. William O. Douglas Wilderness. 1 kilometer southeast of Twin Sisters Lakes. Blankenship Lakes Loop Trail.,Seasonally wet meadows with shallow ponds from melting snow.,"46.4247° N,  121.3629° W",46.730941,-121.361111,Y,WGS 84,398,David Giblin,Digital Map,
3235408,985a1a5b-55b9-4306-ac8f-8fe23c41963c,HPSU,17689,Apiaceae,Tauschia stricklandii,Saddle Bag Mountain is the correct name. Site visited by Mark Darrach in June 2020: several discrete dense patches; estimated population at over 1000 individuals; over 90% vegetative only; root crown scars on one specimens indicate plant approximately 135 years old.,Flowers,John A. Christy,23,5,2012,Oregon,Lincoln,"Saddle Bag (Saddleback) Mountain area, Forest Capital Partners timberland, 9.5 mi WSW of Grand Ronde, 0.8 mi SW of Lost Prairie ACEC. On S side of spur off BLM Road 7-9-3.1.","Horizontal shelf of basalt in small rock outcrop and bald. Perched water table draining in small channels. With Cladonia, Stereocaulon, Pleurozium schreberi, Polytrichum commune, Polytrichum juniperinum, Racomitrium heterophyllum, Xerophyllum tenax, Lewisia columbiana, Allium crenulatum, dwarfed Gaultheria shallon, and Vaccinium caespitosum. Surrounded by second-growth forest of Tsuga heterophylla, Thuja plicata, Abies amabilis, and Pseudotsuga menziesii.","44.988396° N,  123.766977° W; T7S, R9W, NE4 SE4 Sec. 3",44.988396,-123.766977,Y,,,John Christy,Specimen Label,
184388,fe12073f-6ebb-4572-a527-5a5b9a11f819,WTU,388307,Apiaceae,Tauschia stricklandii,Scattered in scree; flowers yellow.,Fruits,David Giblin,14,7,2011,Washington,Yakima,Okanogan-Wenatchee National Forest. Below and to northeast of Little Bald Mountain. West of Forest Service Road 1600 at eastern edge of deep basin.,West-facing scree and dry soil slope with Delphinium nuttallianum and Eriogonom compositum.,"46.90872° N,  121.15114° W",46.90872,-121.15114,Y,WGS 84,30,,GPS,
152062,75ef39f4-f9c6-432d-8f52-36de2bcc8f6c,WTU,366539,Apiaceae,Tauschia stricklandii,"Flowers bright yellow; locally common in mesic, well drained Carex nigricans meadows.",Flowers & Fruits,Ben Legler,9,8,2006,Washington,Pierce,Mount Rainier National Park. Basin 0.5 mile west of Knapsack Pass and 0.5 mile northeast of Mowich Lake Campground.,"Gentle northwest-facing slope with heath meadows, flowing seeps, and smooth exposed bedrock patches, with Phyllodoce, Cassiope, Pedicularis, Mimulus, Saxifraga, and small conifers.",46° 56' 7 N,46.935278,-121.853333,Y,WGS 84,30,WTU Staff,UTM calculated from Lat-Lon.,
156948,23c4fca6-89c2-4f59-8194-e499c8b7eeb3,WTU,364702,Apiaceae,Tauschia stricklandii,Flowers yellow.,Flowers & Fruits,Don Knoke,16,7,2005,Washington,Yakima,"Along Tumac Mountain Trail 44, 1/4 mile from junction with Sand Ridge Trail 1104.","Deep, damp soil; level; near stream. Other plants: Hieracium gracile, Abies lasiocarpa, Potentilla drummondii, Aster alpiginus.","UTM Zone 10, 625303E, 5176171N",46.7273,-121.3601,Y,WGS 84,2000,WTU Staff,GeoLocate,
156952,2e5b603b-9e62-4014-8f94-fa8fdf3dccb9,WTU,364703,Apiaceae,Tauschia stricklandii,Flowers yellow; locally common.,Flowers & Fruits,Don Knoke,17,7,2005,Washington,Yakima,"Along Sand Ridge Trail 1104, 0.15 miles southeast of outlet of first Twin Sister Lake.","Level, wet area; four inches organic soil over sand. Other plants: Potentilla drummondii, Tsuga mertensiana, Oreostemma alpigenum, Spiraea splendens.","UTM Zone 10, 624880E, 5176185N",46.7275,-121.3657,Y,WGS 84,2000,WTU Staff,GeoLocate,
2164237,dd6c5bfe-048d-41a1-8759-2610bf50e15a,PSM,10657,Apiaceae,Tauschia stricklandii,"Small, yellow umbels, Stems purple at base.",,Sydne Record,19,7,2002,Washington,Pierce,"Upper Spray Park ca. 350 m S of Wonderland Trail, Mount Rainier National Park.","Low, alpine meadow dissected by streams and a pond formed by late snowmelt drainage, growing among Phyllodoce intermedii, Phyllodoce empetriformis, and Cassiope mertensiana remains. 10° NE.","46° 55.112' N,  121° 49.095' W; 590179E, 5196703N; T16N, R8E, S23",46.917876,-121.819331,Y,WGS84,174,Gary W. Shugart,lat/long in locality,comments: http://georeferencing.org/georefcalculator/docs/GeorefGuide.html
3528478,341ba139-952b-4b86-91ea-5cd7d3c4eec1,MORA,MORA-00240,Apiaceae,Tauschia stricklandii,"Two Small Cllusters, One With Flower Stem And One With Old Flowers And Fruits Developing.  Note-Species Of Concern At Mora, Formerly On Wa State Monitor List But Deleted From That List In 1990.""; Det. Rust"," S. 8/4/1988 : Verbatim name provided: Tauschia stricklandii (Coult.& Rose) Math. & Const. .""",,4,8,1988,Washington,Pierce,Knapsack Pass Way Trail (Near Mowich Lake/Spray Park) [Mount Rainier National Park],,,46.935249,-121.843068,Y,WGS 84,1000,Arnie Peterson,Digital Map,
1948737,0d65c9ef-d420-4408-be53-34350cac1eef,PLU,3532,Apiaceae,Tauschia stricklandii,,Flowers,Dinni Fabiani,30,8,1981,Washington,Pierce,R.N.P. Spray Park.,,,,,,,,,,
2309805,48523edb-8543-4e2a-a63f-0eff05e1bea3,HPSU,9945,Apiaceae,Tauschia stricklandii,"Lewis County"" on label is in error.""",,Ruth Martin Hansen,28,7,1978,Washington,Pierce,"Mt. Rainier National Park, Klapache Park, Aurora Lake.",[No habitat data],,46.835555,-121.876762,Y,WGS 84,,John Christy,Digital Map,
3528171,e9503bab-9fa6-4003-8c14-a623a88a2020,MORA,MORA-00155,Apiaceae,Tauschia stricklandii," 1 Specimen With Stems,Leaves And Flowers. Endemic To Mount Rainier; Det. Main, F.C. 1978 : Verbatim name provided: Tauschia stricklandii (Coult.& Rose) Math. & Const. .",,F. C. Main,31,8,1978,Washington,Pierce,Spray Park Meadow [Mount Rainier National Park],,,46.919841,-121.838401,Y,WGS 84,500,Arnie Peterson,Digital Map,
2160994,44f7552a-a03a-4b99-aca2-8e9b968c503f,PSM,7801,Apiaceae,Tauschia stricklandii,,,Irene Creso,3,9,1975,Washington,Pierce,Klapatche Park; Mount Rainier National Park.,,,46.834552,-121.873157,Y,NAD83,174,Gary W. Shugart,GNIS,comments: http://georeferencing.org/georefcalculator/docs/GeorefGuide.html
2159666,651504e1-28d0-4e12-a48a-4b3a274a6bca,PSM,6472,Apiaceae,Tauschia stricklandii,,,Irene Creso,2,9,1972,Washington,Pierce,Spray Park; Mount Rainier National Park.,Open alpine field.,,46.915385,-121.825657,Y,NAD83,947,Gary W. Shugart,GNIS,comments: http://georeferencing.org/georefcalculator/docs/GeorefGuide.html
3974319,4be52f81-4ccf-4734-b0e1-b4b20654caef,WS,,Apiaceae,Tauschia stricklandii,No county given. Https://intermountainbiota.org/portal/collections/individual/index.php?occid=30752504.,flowering,M.J. Hamann,27,7,1969,Washington,Pierce,On top of Yellowstone Cliffs on the north side of Mount Rainier National Park.,Level meadow with heathers.,,46.961495,-121.766766,Y,WGS84,,,GeoLocate,
